Category: All categories,,,
,,,
Region,Milkshake: (2/1/24 - 2/28/25),Hamburger: (2/1/24 - 2/28/25),Breakup: (2/1/24 - 2/28/25)
South Carolina,23%,66%,11%
Illinois,25%,61%,14%
North Carolina,24%,63%,13%
Tennessee,22%,65%,13%
Alabama,24%,64%,12%
Kentucky,23%,64%,13%
Indiana,23%,64%,13%
Utah,21%,67%,12%
Georgia,23%,63%,14%
Arkansas,23%,64%,13%
Oklahoma,19%,69%,12%
Delaware,23%,64%,13%
Ohio,23%,64%,13%
West Virginia,23%,64%,13%
Rhode Island,23%,64%,13%
Pennsylvania,23%,61%,16%
New Jersey,24%,60%,16%
Connecticut,22%,63%,15%
Nevada,20%,68%,12%
Virginia,22%,65%,13%
Maryland,25%,60%,15%
Missouri,19%,67%,14%
Florida,23%,63%,14%
Michigan,19%,69%,12%
Minnesota,20%,66%,14%
Kansas,18%,70%,12%
Arizona,19%,69%,12%
Mississippi,20%,68%,12%
Texas,20%,67%,13%
Idaho,19%,67%,14%
New Hampshire,22%,64%,14%
Wisconsin,20%,66%,14%
Louisiana,19%,66%,15%
Oregon,18%,68%,14%
North Dakota,19%,69%,12%
Nebraska,18%,69%,13%
California,19%,66%,15%
Iowa,19%,68%,13%
New York,20%,64%,16%
Colorado,18%,67%,15%
Washington,18%,68%,14%
Massachusetts,21%,62%,17%
New Mexico,17%,68%,15%
South Dakota,14%,75%,11%
Wyoming,16%,71%,13%
Hawaii,15%,72%,13%
Maine,17%,70%,13%
Vermont,16%,70%,14%
Montana,14%,75%,11%
Alaska,15%,72%,13%
District of Columbia,17%,67%,16%
