Category: All categories

Week,Milkshake: (United States),Hamburger: (United States),Breakup: (United States)
2024-01-28,23,66,12
2024-02-04,25,68,21
2024-02-11,22,63,16
2024-02-18,24,70,29
2024-02-25,25,66,24
2024-03-03,24,67,16
2024-03-10,26,67,24
2024-03-17,25,63,18
2024-03-24,23,69,16
2024-03-31,21,64,14
2024-04-07,20,64,14
2024-04-14,23,67,19
2024-04-21,20,68,15
2024-04-28,21,67,13
2024-05-05,21,68,13
2024-05-12,21,67,13
2024-05-19,21,75,13
2024-05-26,22,100,13
2024-06-02,23,72,14
2024-06-09,23,71,17
2024-06-16,21,73,25
2024-06-23,23,71,12
2024-06-30,23,99,13
2024-07-07,23,72,14
2024-07-14,23,68,13
2024-07-21,22,69,14
2024-07-28,22,69,13
2024-08-04,22,67,10
2024-08-11,23,66,10
2024-08-18,21,69,11
2024-08-25,21,69,10
2024-09-01,20,67,17
2024-09-08,18,62,11
2024-09-15,19,76,12
2024-09-22,20,61,12
2024-09-29,19,59,13
2024-10-06,20,60,12
2024-10-13,19,63,13
2024-10-20,19,62,14
2024-10-27,18,62,12
2024-11-03,17,51,12
2024-11-10,21,56,13
2024-11-17,20,57,13
2024-11-24,18,49,12
2024-12-01,18,52,13
2024-12-08,18,54,13
2024-12-15,17,55,12
2024-12-22,17,57,12
2024-12-29,22,65,17
2025-01-05,24,62,13
2025-01-12,24,65,13
2025-01-19,23,65,13
2025-01-26,23,62,13
2025-02-02,27,64,14
2025-02-09,23,64,18
2025-02-16,26,71,15
2025-02-23,27,68,13
